Date,Description,Amount,Category,Payment Modality
1/16/2024,COSTCO GAS,13.8,Gas,At the store
2/20/2024,Walmart,16.27,Grocery,At the store
2/20/2024,PLANET FITNESS,10,Gym,Online
2/21/2024,SHEETZ 0320 02/21 PURCHASE CHRISTIANSBUR VA,23.28,Gas,At the store
2/26/2024,Zelle payment to YI ZENG,32.15,Rent,Not Applicable
3/1/2024,PLANET FITNESS,49,Gym,Online
3/11/2024,DD DOORDASH WENDYS,2,Other,Online
3/11/2024,DD DOORDASH WENDYS,3,Other,Online
3/11/2024,DD DOORDASH WENDYS,2.5,Other,Online
3/12/2024,ROBINHOOD,600,Invest,Online
3/14/2024,DD DOORDASH WENDYS,2.5,Other,Online
3/18/2024,DD DOORDASH WENDYS,2.5,Other,Online
3/18/2024,DD DOORDASH WENDYS,2,Other,Online
3/18/2024,DD DOORDASH WENDYS,2,Other,Online
3/18/2024,DD DOORDASH WENDYS,2,Other,Online
3/18/2024,DD DOORDASH WENDYS,2.5,Other,Online
3/18/2024,DD DOORDASH WENDYS,2.5,Other,Online
3/18/2024,DD DOORDASH WENDYS,2.5,Other,Online
3/18/2024,DD DOORDASH WENDYS,2.5,Other,Online
3/18/2024,ROBINHOOD,800,Invest,Online
3/18/2024,PLANET FITNESS,10,Gym,Online
3/25/2024,DD DOORDASH WENDYS,2.5,Other,Online
3/25/2024,DD DOORDASH WENDYS,2.5,Other,Online
3/28/2024,ROBINHOOD,500,Invest,Online
4/4/2024,ROBINHOOD,500,Invest,Online
4/12/2024,ROBINHOOD,500,Invest,Online
4/16/2024,ROBINHOOD,800,Invest,Online
4/17/2024,PLANET FITNESS,10,Gym,Online
4/19/2024,DEPT EDUCATION,1034.64,Student Loan,Online
4/26/2024,DEPT EDUCATION,1000,Student Loan,Online
4/26/2024,ROBINHOOD,500,Invest,Online
5/6/2024,KROGER FUEL,32.38,Gas,At the store
5/6/2024,Walmart,7.53,Grocery,At the store
5/6/2024,Zelle payment to YI ZENG,1317.58,Rent,Not Applicable
5/9/2024,PLANET FITNESS,40,Gym,Online
5/14/2024,student loan,1000,Student Loan,Online
5/17/2024,PLANET FITNESS,10,Gym,Online
7/9/2024,Acorns,5,Invest,Online
7/9/2024,Acorns,5,Invest,Online
7/16/2024,Acorns,5,Invest,Online
7/22/2024,Acorns,3,Invest,Online
7/23/2024,Acorns,5,Invest,Online
8/12/2024,DEPT EDUCATION,188.72,Student Loan,Online
9/16/2024,Zelle payment to YI ZENG,1755.1,Rent,Not Applicable
9/19/2024,DEPT EDUCATION,377.44,Student Loan,Online
11/13/2024,DEPT EDUCATION,188.72,Student Loan,Online
10/4/2024,security deposit for rent,700,Rent,Not Applicable
10/4/2024,rent for october,700,Rent,Not Applicable
11/1/2024,rent for november,700,Rent,Not Applicable
12/1/2024,rent for december,700,Rent,Not Applicable
