Date,Description,Amount,Category,Payment Modality
12/26/2024,COSTCO,459.17,Grocery,At the store
12/21/2024,AMERICAN MAJESTIC EAGLE,33.65,Gas,At the store
12/19/2024,7-ELEVEN,3.03,Grocery,At the store
12/17/2024,EXXON,25,Gas,At the store
12/16/2024,AMERICAN MAJESTIC EAGLE,30.42,Gas,At the store
12/13/2024,AMERICAN MAJESTIC EAGLE,29.78,Gas,At the store
12/12/2024,COSTCO,2.19,Grocery,At the store
12/12/2024,COSTCO,72.61,Grocery,At the store
12/6/2024,AMERICAN MAJESTIC EAGLE,28.79,Gas,At the store
12/4/2024,COSTCO,121.22,Grocery,At the store
12/3/2024,7-ELEVEN,1.35,Grocery,At the store
12/2/2024,EXXON,33.83,Gas,At the store
11/27/2024,COSTCO,3.7,Grocery,At the store
11/27/2024,COSTCO GAS,13.18,Gas,At the store
11/27/2024,COSTCO,60.74,Grocery,At the store
11/17/2024,UNIQUE,2.12,Merchandise,At the store
11/15/2024,COSTCO,87.61,Grocery,At the store
11/10/2024,CRUZ CROWN,28.55,Gas,At the store
11/7/2024,COSTCO,61.82,Grocery,At the store
10/31/2024,SUNOCO,24.29,Gas,At the store
10/31/2024,UMI Buffet,60.48,Dining,At the store
10/30/2024,BP,9.28,Gas,At the store
10/29/2024,HOME DEPOT,231.08,Merchandise,At the store
10/25/2024,CRUZ CROWN,30.27,Gas,At the store
10/24/2024,COSTCO,58.44,Grocery,At the store
10/17/2024,COSTCO Ticket,3,Other,At the store
10/17/2024,COSTCO,41.76,Grocery,At the store
10/10/2024,COSTCO,2.19,Grocery,At the store
10/10/2024,COSTCO,74.24,Grocery,At the store
10/3/2024,COSTCO,134.37,Grocery,At the store
9/19/2024,COSTCO,78.59,Grocery,At the store
9/14/2024,HOME DEPOT,12.99,Merchandise,At the store
9/11/2024,GIANT,11.39,Grocery,At the store
9/10/2024,COSTCO Ticket,11,Other,At the store
9/10/2024,KAISER,10,Other,At the store
9/10/2024,COSTCO,136.85,Grocery,At the store
8/22/2024,COSTCO,196.25,Grocery,At the store
8/16/2024,GIANT,5.13,Grocery,At the store
7/26/2024,ALDI,24.36,Grocery,At the store
7/18/2024,GIANT,2.02,Grocery,At the store
7/18/2024,COSTCO,170.35,Grocery,At the store
7/3/2024,DD/BR,10.24,Gas,At the store
6/23/2024,COSTCO,58.39,Grocery,At the store
6/20/2024,COSTCO,74.47,Grocery,At the store
6/13/2024,ALDI,13,Grocery,At the store
6/12/2024,COSTCO,63.95,Grocery,At the store
