date_id,full_date,month_name,day_of_week,is_week,is_holiday
1,1/1/2024,January,Monday,Week,Holiday
2,1/2/2024,January,Tuesday,Week,Non-holiday
3,1/3/2024,January,Wednesday,Week,Non-holiday
4,1/4/2024,January,Thursday,Week,Non-holiday
5,1/5/2024,January,Friday,Week,Non-holiday
6,1/6/2024,January,Saturday,Weekend,Non-holiday
7,1/7/2024,January,Sunday,Weekend,Non-holiday
8,1/8/2024,January,Monday,Week,Non-holiday
9,1/9/2024,January,Tuesday,Week,Non-holiday
10,1/10/2024,January,Wednesday,Week,Non-holiday
11,1/11/2024,January,Thursday,Week,Non-holiday
12,1/12/2024,January,Friday,Week,Non-holiday
13,1/13/2024,January,Saturday,Weekend,Non-holiday
14,1/14/2024,January,Sunday,Weekend,Non-holiday
15,1/15/2024,January,Monday,Week,Holiday
16,1/16/2024,January,Tuesday,Week,Non-holiday
17,1/17/2024,January,Wednesday,Week,Non-holiday
18,1/18/2024,January,Thursday,Week,Non-holiday
19,1/19/2024,January,Friday,Week,Holiday
20,1/20/2024,January,Saturday,Weekend,Non-holiday
21,1/21/2024,January,Sunday,Weekend,Non-holiday
22,1/22/2024,January,Monday,Week,Non-holiday
23,1/23/2024,January,Tuesday,Week,Non-holiday
24,1/24/2024,January,Wednesday,Week,Non-holiday
25,1/25/2024,January,Thursday,Week,Non-holiday
26,1/26/2024,January,Friday,Week,Non-holiday
27,1/27/2024,January,Saturday,Weekend,Non-holiday
28,1/28/2024,January,Sunday,Weekend,Non-holiday
29,1/29/2024,January,Monday,Week,Non-holiday
30,1/30/2024,January,Tuesday,Week,Non-holiday
31,1/31/2024,January,Wednesday,Week,Non-holiday
32,2/1/2024,February,Thursday,Week,Non-holiday
33,2/2/2024,February,Friday,Week,Non-holiday
34,2/3/2024,February,Saturday,Weekend,Non-holiday
35,2/4/2024,February,Sunday,Weekend,Non-holiday
36,2/5/2024,February,Monday,Week,Non-holiday
37,2/6/2024,February,Tuesday,Week,Non-holiday
38,2/7/2024,February,Wednesday,Week,Non-holiday
39,2/8/2024,February,Thursday,Week,Non-holiday
40,2/9/2024,February,Friday,Week,Non-holiday
41,2/10/2024,February,Saturday,Weekend,Non-holiday
42,2/11/2024,February,Sunday,Weekend,Non-holiday
43,2/12/2024,February,Monday,Week,Non-holiday
44,2/13/2024,February,Tuesday,Week,Non-holiday
45,2/14/2024,February,Wednesday,Week,Non-holiday
46,2/15/2024,February,Thursday,Week,Non-holiday
47,2/16/2024,February,Friday,Week,Non-holiday
48,2/17/2024,February,Saturday,Weekend,Non-holiday
49,2/18/2024,February,Sunday,Weekend,Non-holiday
50,2/19/2024,February,Monday,Week,Non-holiday
51,2/20/2024,February,Tuesday,Week,Non-holiday
52,2/21/2024,February,Wednesday,Week,Non-holiday
53,2/22/2024,February,Thursday,Week,Non-holiday
54,2/23/2024,February,Friday,Week,Non-holiday
55,2/24/2024,February,Saturday,Weekend,Non-holiday
56,2/25/2024,February,Sunday,Weekend,Non-holiday
57,2/26/2024,February,Monday,Week,Non-holiday
58,2/27/2024,February,Tuesday,Week,Non-holiday
59,2/28/2024,February,Wednesday,Week,Non-holiday
60,2/29/2024,February,Thursday,Week,Non-holiday
61,3/1/2024,March,Friday,Week,Non-holiday
62,3/2/2024,March,Saturday,Weekend,Non-holiday
63,3/3/2024,March,Sunday,Weekend,Non-holiday
64,3/4/2024,March,Monday,Week,Non-holiday
65,3/5/2024,March,Tuesday,Week,Non-holiday
66,3/6/2024,March,Wednesday,Week,Non-holiday
67,3/7/2024,March,Thursday,Week,Non-holiday
68,3/8/2024,March,Friday,Week,Non-holiday
69,3/9/2024,March,Saturday,Weekend,Non-holiday
70,3/10/2024,March,Sunday,Weekend,Non-holiday
71,3/11/2024,March,Monday,Week,Non-holiday
72,3/12/2024,March,Tuesday,Week,Non-holiday
73,3/13/2024,March,Wednesday,Week,Non-holiday
74,3/14/2024,March,Thursday,Week,Non-holiday
75,3/15/2024,March,Friday,Week,Non-holiday
76,3/16/2024,March,Saturday,Weekend,Non-holiday
77,3/17/2024,March,Sunday,Weekend,Non-holiday
78,3/18/2024,March,Monday,Week,Non-holiday
79,3/19/2024,March,Tuesday,Week,Non-holiday
80,3/20/2024,March,Wednesday,Week,Non-holiday
81,3/21/2024,March,Thursday,Week,Non-holiday
82,3/22/2024,March,Friday,Week,Non-holiday
83,3/23/2024,March,Saturday,Weekend,Non-holiday
84,3/24/2024,March,Sunday,Weekend,Non-holiday
85,3/25/2024,March,Monday,Week,Non-holiday
86,3/26/2024,March,Tuesday,Week,Non-holiday
87,3/27/2024,March,Wednesday,Week,Non-holiday
88,3/28/2024,March,Thursday,Week,Non-holiday
89,3/29/2024,March,Friday,Week,Non-holiday
90,3/30/2024,March,Saturday,Weekend,Non-holiday
91,3/31/2024,March,Sunday,Weekend,Non-holiday
92,4/1/2024,April,Monday,Week,Non-holiday
93,4/2/2024,April,Tuesday,Week,Non-holiday
94,4/3/2024,April,Wednesday,Week,Non-holiday
95,4/4/2024,April,Thursday,Week,Non-holiday
96,4/5/2024,April,Friday,Week,Non-holiday
97,4/6/2024,April,Saturday,Weekend,Non-holiday
98,4/7/2024,April,Sunday,Weekend,Non-holiday
99,4/8/2024,April,Monday,Week,Non-holiday
