id,date_id,bank_id,payment_method_id,description,category,amount,payment modality
238,2,1,0,Wall Street,Other,2.0,Online
383,4,4,0,WEIGHT CLUB,Gym,10.0,At the store
407,4,4,0,Subway,Dining,7.78,Online
348,5,4,0,KROGER,Grocery,14.05,At the store
299,7,4,0,KROGER,Grocery,31.59,At the store
446,7,4,0,KROGER,Grocery,4.04,At the store
289,8,3,1,Oasis,Grocery,5.06,At the store
237,9,1,0,COMCAST,Phone/Cables,59.99,Online
435,10,4,0,KROGER,Grocery,5.52,At the store
458,10,4,0,KROGER,Grocery,3.83,At the store
295,11,4,0,GREAT WALL SUPERMARKET,Grocery,41.22,At the store
236,11,1,0,Amazon,Merchandise,18.0,Online
483,11,4,0,COSTCO,Dining,1.59,At the store
290,12,3,1,Costco Gas,Gas,20.34,At the store
235,12,1,0,Amazon,Merchandise,7.49,Online
311,13,4,0,LIDL,Grocery,24.14,At the store
378,13,4,0,SHAKE SHACK,Dining,10.59,Online
368,14,4,0,CAVA,Dining,11.93,Online
337,15,4,0,KROGER,Grocery,16.62,At the store
239,16,2,0,COSTCO GAS,Gas,13.8,At the store
485,17,4,0,LIDL,Grocery,1.07,At the store
234,18,1,0,HULU,Subscription,1.99,Online
319,18,4,0,GREAT WALL SUPERMARKET,Grocery,20.84,At the store
333,18,4,0,KROGER,Grocery,17.08,At the store
415,18,4,0,GIANT,Grocery,6.62,At the store
233,20,1,0,Nike.com,Merchandise,90.53,Online
365,21,4,0,ALDI,Grocery,12.17,At the store
355,22,4,0,KROGER,Grocery,12.98,At the store
232,22,1,0,VT GRAD ADMISSIONS,School,75.0,Online
312,24,4,0,KROGER,Grocery,23.57,At the store
428,25,4,0,KROGER,Grocery,6.04,At the store
406,25,4,0,Subway,Dining,7.78,Online
471,25,4,0,LIDL,Grocery,3.02,At the store
399,26,4,0,LIDL,Grocery,8.57,At the store
375,27,4,0,KROGER,Grocery,10.97,At the store
353,28,4,0,ALDI,Grocery,13.43,At the store
429,29,4,0,LIDL,Grocery,6.04,At the store
230,29,1,0,LinkedIn,Other,39.99,Online
